type,NumberOfGenerations,size,function,time_ms
cuda_v1,100,1024, Avg. per Kernel, 1.19535
cuda_v1,100,1024, Copy Memory D->H, 0.454048
cuda_v1,100,1024, Alloc Vectors, 0.155232
cuda_v1,100,1024, Copy Memory H->D, 0.499232
cuda_v1,100,1024, Avg. per Kernel, 0.939257
cuda_v1,100,1024, Copy Memory D->H, 0.4744
cuda_v2,100,1024, Alloc Vectors, 0.155648
cuda_v2,100,1024, Copy Memory H->D, 0.530528
cuda_v2,100,1024, Avg. per Kernel, 0.00530528
cuda_v2,100,1024, Copy Memory D->H, 0.530528
cuda_v2,100,1024, Alloc Vectors, 0.154688
cuda_v2,100,1024, Copy Memory H->D, 0.536704
cuda_v2,100,1024, Avg. per Kernel, 0.00536704
cuda_v2,100,1024, Copy Memory D->H, 0.536704
cuda_v0,100,1024, Alloc Vectors, 0.159552
cuda_v0,100,1024, Copy Memory H->D, 0.567872
cuda_v0,100,1024, Avg. per Kernel, 1.48127
cuda_v0,100,1024, Copy Memory D->H, 0.500096
cuda_v0,100,1024, Alloc Vectors, 0.160192
cuda_v0,100,1024, Copy Memory H->D, 0.568864
cuda_v0,100,1024, Avg. per Kernel, 1.1584
cuda_v0,100,1024, Copy Memory D->H, 0.496736
cuda_v1,100,1024, Alloc Vectors, 0.151424
cuda_v1,100,1024, Copy Memory H->D, 0.529504
cuda_v1,100,1024, Avg. per Kernel, 0.988204
cuda_v1,100,1024, Copy Memory D->H, 0.448288
cuda_v1,100,1024, Alloc Vectors, 0.160544
cuda_v1,100,1024, Copy Memory H->D, 0.513696
cuda_v1,100,1024, Avg. per Kernel, 1.17469
cuda_v1,100,1024, Copy Memory D->H, 0.488992
cuda_v2,100,1024, Alloc Vectors, 0.151616
cuda_v2,100,1024, Copy Memory H->D, 0.52336
cuda_v2,100,1024, Avg. per Kernel, 0.0052336
cuda_v2,100,1024, Copy Memory D->H, 0.52336
cuda_v2,100,1024, Alloc Vectors, 0.201664
cuda_v2,100,1024, Copy Memory H->D, 0.576128
cuda_v2,100,1024, Avg. per Kernel, 0.00576128
cuda_v2,100,1024, Copy Memory D->H, 0.576128
cuda_v2,100,4096, Alloc Vectors, 0.23328
cuda_v2,100,4096, Copy Memory H->D, 5.85542
cuda_v2,100,4096, Avg. per Kernel, 3.04982
cuda_v2,100,4096, Copy Memory D->H, 5.2504
cuda_v2,100,4096, Alloc Vectors, 0.25104
cuda_v2,100,4096, Copy Memory H->D, 5.87133
cuda_v2,100,4096, Avg. per Kernel, 2.31839
cuda_v2,100,4096, Copy Memory D->H, 5.26938
cuda_v0,100,1, Alloc Vectors, 0.133664
cuda_v0,100,1, Copy Memory H->D, 0.03168
cuda_v0,100,1, Avg. per Kernel, 0.398359
cuda_v0,100,1, Copy Memory D->H, 0.042592
cuda_v0,100,1, Alloc Vectors, 0.185248
cuda_v0,100,1, Copy Memory H->D, 0.020608
cuda_v0,100,1, Avg. per Kernel, 0.0244906
cuda_v0,100,1, Copy Memory D->H, 0.073536
cuda_v1,100,1, Alloc Vectors, 0.093632
cuda_v1,100,1, Copy Memory H->D, 0.026624
cuda_v1,100,1, Avg. per Kernel, 0.334775
cuda_v1,100,1, Copy Memory D->H, 0.01504
cuda_v1,100,1, Alloc Vectors, 0.194336
cuda_v1,100,1, Copy Memory H->D, 0.033184
cuda_v1,100,1, Avg. per Kernel, 0.022505
cuda_v1,100,1, Copy Memory D->H, 0.03472
cuda_v2,100,1, Alloc Vectors, 0.093184
cuda_v2,100,1, Copy Memory H->D, 0.036672
cuda_v2,100,1, Avg. per Kernel, 0.712458
cuda_v2,100,1, Copy Memory D->H, 0.011392
cuda_v2,100,1, Alloc Vectors, 0.188992
cuda_v2,100,1, Copy Memory H->D, 0.03728
cuda_v2,100,1, Avg. per Kernel, 0.410392
cuda_v2,100,1, Copy Memory D->H, 0.019488
cuda_v0,100,25, Alloc Vectors, 0.09472
cuda_v0,100,25, Copy Memory H->D, 0.012224
cuda_v0,100,25, Avg. per Kernel, 0.45392
cuda_v0,100,25, Copy Memory D->H, 0.057504
cuda_v0,100,25, Alloc Vectors, 0.164416
cuda_v0,100,25, Copy Memory H->D, 0.014464
cuda_v0,100,25, Avg. per Kernel, 0.0249949
cuda_v0,100,25, Copy Memory D->H, 0.061376
cuda_v1,100,25, Alloc Vectors, 0.088064
cuda_v1,100,25, Copy Memory H->D, 0.011424
cuda_v1,100,25, Avg. per Kernel, 0.419207
cuda_v1,100,25, Copy Memory D->H, 0.015904
cuda_v1,100,25, Alloc Vectors, 0.186432
cuda_v1,100,25, Copy Memory H->D, 0.01776
cuda_v1,100,25, Avg. per Kernel, 0.0357658
cuda_v1,100,25, Copy Memory D->H, 0.037664
cuda_v2,100,25, Alloc Vectors, 0.08976
cuda_v2,100,25, Copy Memory H->D, 0.01024
cuda_v2,100,25, Avg. per Kernel, 0.795359
cuda_v2,100,25, Copy Memory D->H, 0.0104
cuda_v2,100,25, Alloc Vectors, 0.16912
cuda_v2,100,25, Copy Memory H->D, 0.028992
cuda_v2,100,25, Avg. per Kernel, 0.418784
cuda_v2,100,25, Copy Memory D->H, 0.03376
cuda_v0,100,50, Alloc Vectors, 0.098496
cuda_v0,100,50, Copy Memory H->D, 0.026912
cuda_v0,100,50, Avg. per Kernel, 0.369865
cuda_v0,100,50, Copy Memory D->H, 0.045728
cuda_v0,100,50, Alloc Vectors, 0.151712
cuda_v0,100,50, Copy Memory H->D, 0.017056
cuda_v0,100,50, Avg. per Kernel, 0.0265635
cuda_v0,100,50, Copy Memory D->H, 0.05088
cuda_v1,100,50, Alloc Vectors, 0.197408
cuda_v1,100,50, Copy Memory H->D, 0.063488
cuda_v1,100,50, Avg. per Kernel, 0.421813
cuda_v1,100,50, Copy Memory D->H, 0.021184
cuda_v1,100,50, Alloc Vectors, 0.154336
cuda_v1,100,50, Copy Memory H->D, 0.019328
cuda_v1,100,50, Avg. per Kernel, 0.0365786
cuda_v1,100,50, Copy Memory D->H, 0.02416
cuda_v2,100,50, Alloc Vectors, 0.096256
cuda_v2,100,50, Copy Memory H->D, 0.012288
cuda_v2,100,50, Avg. per Kernel, 1.02636
cuda_v2,100,50, Copy Memory D->H, 0.010272
cuda_v2,100,50, Alloc Vectors, 0.156192
cuda_v2,100,50, Copy Memory H->D, 0.0176
cuda_v2,100,50, Avg. per Kernel, 0.643907
cuda_v2,100,50, Copy Memory D->H, 0.014464
cuda_v0,100,75, Alloc Vectors, 0.0944
cuda_v0,100,75, Copy Memory H->D, 0.030528
cuda_v0,100,75, Avg. per Kernel, 0.406564
cuda_v0,100,75, Copy Memory D->H, 0.056416
cuda_v0,100,75, Alloc Vectors, 0.213632
cuda_v0,100,75, Copy Memory H->D, 0.033184
cuda_v0,100,75, Avg. per Kernel, 0.0280806
cuda_v0,100,75, Copy Memory D->H, 0.051296
cuda_v1,100,75, Alloc Vectors, 0.100832
cuda_v1,100,75, Copy Memory H->D, 0.03504
cuda_v1,100,75, Avg. per Kernel, 0.404109
cuda_v1,100,75, Copy Memory D->H, 0.045536
cuda_v1,100,75, Alloc Vectors, 0.193856
cuda_v1,100,75, Copy Memory H->D, 0.034848
cuda_v1,100,75, Avg. per Kernel, 0.0383869
cuda_v1,100,75, Copy Memory D->H, 0.067808
cuda_v2,100,75, Alloc Vectors, 0.09216
cuda_v2,100,75, Copy Memory H->D, 0.013024
cuda_v2,100,75, Avg. per Kernel, 1.17616
cuda_v2,100,75, Copy Memory D->H, 0.014752
cuda_v2,100,75, Alloc Vectors, 0.16096
cuda_v2,100,75, Copy Memory H->D, 0.029184
cuda_v2,100,75, Avg. per Kernel, 0.818109
cuda_v2,100,75, Copy Memory D->H, 0.023488
cuda_v0,100,100, Alloc Vectors, 0.098304
cuda_v0,100,100, Copy Memory H->D, 0.016288
cuda_v0,100,100, Avg. per Kernel, 0.123343
cuda_v0,100,100, Copy Memory D->H, 0.04496
cuda_v0,100,100, Alloc Vectors, 0.165088
cuda_v0,100,100, Copy Memory H->D, 0.01824
cuda_v0,100,100, Avg. per Kernel, 0.045847
cuda_v0,100,100, Copy Memory D->H, 0.089888
cuda_v1,100,100, Alloc Vectors, 0.12752
cuda_v1,100,100, Copy Memory H->D, 0.029376
cuda_v1,100,100, Avg. per Kernel, 0.0611875
cuda_v1,100,100, Copy Memory D->H, 0.019808
cuda_v1,100,100, Alloc Vectors, 0.16416
cuda_v1,100,100, Copy Memory H->D, 0.02
cuda_v1,100,100, Avg. per Kernel, 0.0612093
cuda_v1,100,100, Copy Memory D->H, 0.050496
cuda_v2,100,100, Alloc Vectors, 0.091936
cuda_v2,100,100, Copy Memory H->D, 0.018656
cuda_v2,100,100, Avg. per Kernel, 1.12254
cuda_v2,100,100, Copy Memory D->H, 0.017312
cuda_v2,100,100, Alloc Vectors, 0.134848
cuda_v2,100,100, Copy Memory H->D, 0.01968
cuda_v2,100,100, Avg. per Kernel, 0.959024
cuda_v2,100,100, Copy Memory D->H, 0.036736
cuda_v0,100,125, Alloc Vectors, 0.160928
cuda_v0,100,125, Copy Memory H->D, 0.038784
cuda_v0,100,125, Avg. per Kernel, 0.416607
cuda_v0,100,125, Copy Memory D->H, 0.085824
cuda_v0,100,125, Alloc Vectors, 0.162368
cuda_v0,100,125, Copy Memory H->D, 0.033728
cuda_v0,100,125, Avg. per Kernel, 0.0465949
cuda_v0,100,125, Copy Memory D->H, 0.093216
cuda_v1,100,125, Alloc Vectors, 0.112544
cuda_v1,100,125, Copy Memory H->D, 0.028544
cuda_v1,100,125, Avg. per Kernel, 0.464305
cuda_v1,100,125, Copy Memory D->H, 0.053696
cuda_v1,100,125, Alloc Vectors, 0.152608
cuda_v1,100,125, Copy Memory H->D, 0.022144
cuda_v1,100,125, Avg. per Kernel, 0.0684192
cuda_v1,100,125, Copy Memory D->H, 0.025984
cuda_v2,100,125, Alloc Vectors, 0.090496
cuda_v2,100,125, Copy Memory H->D, 0.017024
cuda_v2,100,125, Avg. per Kernel, 1.47685
cuda_v2,100,125, Copy Memory D->H, 0.016768
cuda_v2,100,125, Alloc Vectors, 0.144448
cuda_v2,100,125, Copy Memory H->D, 0.021024
cuda_v2,100,125, Avg. per Kernel, 0.855851
cuda_v2,100,125, Copy Memory D->H, 0.026496
cuda_v0,100,150, Alloc Vectors, 0.245856
cuda_v0,100,150, Copy Memory H->D, 0.03072
cuda_v0,100,150, Avg. per Kernel, 0.516188
cuda_v0,100,150, Copy Memory D->H, 0.067264
cuda_v0,100,150, Alloc Vectors, 0.164704
cuda_v0,100,150, Copy Memory H->D, 0.033376
cuda_v0,100,150, Avg. per Kernel, 0.0489603
cuda_v0,100,150, Copy Memory D->H, 0.08832
cuda_v1,100,150, Alloc Vectors, 0.081568
cuda_v1,100,150, Copy Memory H->D, 0.044256
cuda_v1,100,150, Avg. per Kernel, 0.38953
